МЕРОПРИЯТИЯ,,,
Тип и наименование мероприятия,Дата проведения,Организатор и место проведения,Дедлайн
Тревел-гранты для участия в выездных научных мероприятиях,,,
Первая Всероссийская с международным участием научно-практическая конференция «Семиотика движения: Язык танца и естественный язык»,Сентябрь 2026 г.,"ИЯз РАН, г. Москва",1 сентября 2026 г.
"Всероссийский научно-практический круглый стол «Материалы по истории Речи Посполитой в российских древлехранилищах: актуальные вопросы хранения, изучения и публикации»",8 сентября 2026 г.,"СПбИИ РАН, г. Санкт-Петербург",30 июня 2026 г.
VI Международный полевой этнографический симпозиум «ИНБАМ: Народные астрономические знания в культуре народов Урало-Поволжья»,10–11 сентября 2026 г.,"ИЭА РАН, г. Москва",1 июля 2026 г.
Международная научная конференция «Судьба человека: Великая Отечественная война в историко-антропологическом измерении»,16–17 сентября 2026 г.,"ИВИ РАН, г. Москва",1 июля 2026 г.
Международная научная конференция «Сергей Есенин и его литературное окружение» (к 131-й годовщине со дня рождения поэта),16–19 сентября 2026 г.,"ИМЛИ РАН и другие, г. Москва/г. Рязань/с. Константиново",25 августа 2026 г.
II научно-практическая конференция «Языки Китая и сопредельных регионов»,17–18 сентября 2026 г.,"ИЯз РАН, г. Москва",15 июля 2026 г.
Всероссийская научная конференция «Эволюция образовательных систем в странах Запада и России: от Просвещения к Модернизму» ,17–18 сентября 2026 г.,"ИВИ РАН, г. Москва", 1 сентября 2026 г.
Конференция «Югославия и постъюгославское пространство в системе международных отношений. 1918-2025 гг.»,22 сентября 2026 г.,"ИСл РАН, г. Москва",1 сентября 2026 г.
"Четвёртая всероссийская (с международным участием) научно-практическая конференция «Литературное наследие Серебряного века: традиции, преемственность, актуальность»",22–25 сентября 2026 г.,"Литературный институт им. А.М. Горького, г. Москва",30 июня 2026 г.
IV Всероссийская конференция (с международным участием) по истории и культуре Поздней Античности «Закат Древнего мира»,24–26 сентября 2026 г.,"ИВИ РАН, г. Москва",15 августа 2026 г.
"Международная научная конференция «Феномен ""американского чуда"" в оптике вызовов ХХI в.: к 250-летнему юбилею образования США»",25 сентября 2026 г.,"МГУ им. М.В. Ломоносова, г. Москва",20 июня 2026 г.
Ежегодная Всероссийская научная конференция «Анахарсис»,25–27 сентября 2026 г.,"КФУ им. В.И. Вернадского, РГГУ, г. Судак",1 июля 2026 г.
Конференция памяти Валерия Александровича Подороги «Произведение и дистанция. Стратегии аналитической антропологии»,29–30 сентября 2026 г.,"ИФ РАН, г. Москва",1 июля 2026 г.
6-я индологическая конференция «Дубянские чтения»,30 сентября–2 октября 2026 г.,"НИУ ВШЭ, г. Москва",15 июля 2026 г.
"IV Международная научная онлайн-конференция «Книга в книге», посвященная памяти Александра Викторовича Михайлова (1938–1995)",1–3 октября 2026 г.,"ИМЛИ РАН, г. Москва",1 сентября 2026 г.
Международная научная конференция «Мифологические измерения современного изобразительного искусства Большого Кавказа и юга России»,8 октября 2026 г.,"РАХ и другие, г. Нальчик",1 сентября 2026 г.
"47-я Всероссийская научно-практическая конференция с международным участием «Южно-Тихоокеанский регион в прошлом и настоящем: история, экономика, политика, культура»",8 октября 2026 г.,"ИВ РАН, г. Москва",1 октября 2026 г.
Научная конференция с международным участием «Литературные курьезы Серебряного века: феномен и контекст»,8–9 октября 2026 г.,"ИРЛИ РАН (Пушкинский дом), г. Санкт-Петербург",1 сентября 2026 г.
Х Международная научно-практическая конференция «СОВРЕМЕННЫЕ ПРОБЛЕМЫ ФИЛОЛОГИИ И МЕТОДИКИ ПРЕПОДАВАНИЯ ЯЗЫКОВ: ВОПРОСЫ ТЕОРИИ И ПРАКТИКИ»,9 октября 2026 г.,"Елабужский институт КФУ, г. Елабуга",25 сентября 2026 г.
Конференция «Культурный слой палеолитических памятников: от генезиса до интерпретации»,12–14 октября 2026 г.,"ИИМК РАН, г. Санкт-Петербург",1 июля 2026 г.
Четвертая международная научная конференция «Искусство Востока и Восток в искусстве: между ренессансом и декадансом»,12–14 октября 2026 г.,"ИВ РАН, г. Москва",1 сентября 2026 г.
"Научная конференция «Грани авангарда: Петербургский авангард. Имена, события, школы»",13–14 октября 2026 г.,"Музей петербургского авангарда и другие, г. Санкт-Петербург",31 июля 2026 г.
"Конференция «Династическое правление в традиционных обществах Востока и Запада: политика, идеология, культура»",14–16 октября 2026 г.,"ННГУ им. Н.И. Лобачевского, г. Нижний Новгород",21 сентября 2026 г.
Междисциплинарная конференция «Три царства естества»,16–17 октября 2026 г.,"ИЛИ РАН, г. Санкт-Петербург",15 июля 2026 г.
"Международная конференция  «Монодические традиции Евразии. Вопросы общности и специфики, генезиса и развития»",21–22 октября 2026 г.,"Московская государственная консерватория имени П. И. Чайковского и другие, г. Москва",10 сентября 2026 г.
Всероссийская с международным участием научно-практическая конференция «Символический капитал традиционной культуры: опыт прошлого в моделях будущего»,22 октября 2026 г.,"МГУ им. Н.П. Огарёва, г. Саранск",1 октября 2026 г.
XIX Международная студенческая научно-практическая конференция «НАУКА И МОЛОДЕЖЬ: ШАГ В БУДУЩЕЕ»,22 октября 2026 г.,"Елабужский институт КФУ, г. Елабуга",7 октября 2026 г.
ХIII Всероссийская научно-практическая конференция c международным участием «Карповские чтения»,22–23 октября 2026 г.,"Центральная городская библиотека им. А.М. Горького, ННГУ им. Н.И. Лобачевского, г. Арзамас",20 июля 2026 г.
Международная научная конференция «Траектории цивилизационных изменений современных обществ»,22–23 октября 2026 г.,"Социологический институт РАН – филиал ФНИСЦ РАН, 
г. Санкт-Петербург",12 сентября 2026 г.
IV Томский антропологический форум,22–24 октября 2026 г.,"Национальный исследовательский Томский государственный университет, г. Томск",1 июля 2026 г.
VII Международная научная конференция «Русский язык XIX в.: слово и текст»,23–24 октября 2026 г.,"ИЛИ РАН, г. Санкт-Петербург",20 сентября 2026 г.
XXIX чтения «Язык как материал словесности»,24 октября 2026 г.,"Литературный институт имени А.М. Горького, г. Москва",1 октября 2026 г.
Международная онлайн-конференция «Музыка в системе межкультурных коммуникаций»,24 октября 2026 г.,"ГИИ, г. Москва",1 октября 2026 г.
"XVII международная конференция Школы философии и культурологии ФГН НИУ ВШЭ «Философия, культура, ценности в современном мире»",26–27 октября 2026 г.,"НИУ ВШЭ, г. Москва",5 августа 2026 г.
"10-я конференция Междисциплинарного Центральноевропейского семинара «Слагаемые успеха: люди, тексты, инициативы в Центральной Европе и сопредельных регионах. К 100-летию Тофика Исламова»",2–3 ноября 2026 г.,"ИСл РАН, г. Москва",1 августа 2026 г.
XХIV съезд Российского союза германистов «Германистика в эпоху глобальной нестабильности: мосты и барьеры» , 5–7 ноября 2026 г.,"МГЛУ, г. Москва",15 июля 2026 г.
"IV Палеографическая конференция «Письменная манера и корпоративная мода: элементы писцовой ""школы"" в книжных и актовых памятниках»",9–10 ноября 2026 г.,"ИВИ РАН, СПбИИ РАН, г. Москва/г. Санкт-Петербург",1 сентября 2026 г.
"Конференция по лексикографии, посвященная 225-летию со дня рождения В.И. Даля",9–12 ноября 2026 г.,"ИЛИ РАН, г. Санкт-Петербург",1 сентября 2026 г.
